family,difficulty,answer,prompt_en,explanation_en,facts,image_a,image_b,accepted_count
transfer,medium,Anastasios Douvikas,One player made this move in 2024/25. Who?,Anastasios Douvikas joined Como from Celta de Vigo in 2024/25 for €14M.,"{""from"": ""Celta de Vigo"", ""to"": ""Como"", ""season"": ""24/25"", ""fee"": 14000000.0}",celta-de-vigo.webp,wl-como.png,4
transfer,easy,Jorginho,One player made this move in 2022/23. Who?,Jorginho joined Arsenal from Chelsea in 2022/23 for €11.3M.,"{""from"": ""Chelsea"", ""to"": ""Arsenal"", ""season"": ""22/23"", ""fee"": 11300000.0}",chelsea.webp,arsenal.webp,2
transfer,hard,Sebastian Szymanski,One player made this move in 2023/24. Who?,Sebastian Szymanski joined Fenerbahçe from Dynamo Moscow in 2023/24 for €10.7M.,"{""from"": ""Dynamo Moscow"", ""to"": ""Fenerbahçe"", ""season"": ""23/24"", ""fee"": 10700000.0}",wl-dynamo-moscow.png,wl-fenerbahce.png,4
transfer,medium,Krzysztof Piatek,One player made this move in 2025/26. Who?,Krzysztof Piatek joined Al-Duhail from Başakşehir in 2025/26 for €10M.,"{""from"": ""Basaksehir"", ""to"": ""Al-Duhail SC"", ""season"": ""25/26"", ""fee"": 10000000.0}",wl-basaksehir.png,wl-al-duhail.png,5
transfer,hard,Pedro,One player made this move in 2020/21. Who?,Pedro joined Flamengo from Fiorentina in 2020/21 for €14M.,"{""from"": ""Fiorentina"", ""to"": ""Flamengo"", ""season"": ""20/21"", ""fee"": 14000000.0}",acf-fiorentina.webp,flamengo.webp,2
transfer,medium,Diego Carlos,One player made this move in 2024/25. Who?,Diego Carlos joined Fenerbahçe from Aston Villa in 2024/25 for €11.5M.,"{""from"": ""Aston Villa"", ""to"": ""Fenerbahçe"", ""season"": ""24/25"", ""fee"": 11470000.0}",aston-villa.webp,wl-fenerbahce.png,3
transfer,hard,Antoni Milambo,One player made this move in 2025/26. Who?,Antoni Milambo joined Brentford from Feyenoord in 2025/26 for €20M.,"{""from"": ""Feyenoord"", ""to"": ""Brentford"", ""season"": ""25/26"", ""fee"": 20000000.0}",feyenoord.webp,wl-brentford.png,5
transfer,easy,Eberechi Eze,One player made this move in 2025/26. Who?,Eberechi Eze joined Arsenal from Crystal Palace in 2025/26 for €69.3M.,"{""from"": ""Crystal Palace"", ""to"": ""Arsenal"", ""season"": ""25/26"", ""fee"": 69300000.0}",crystal-palace.png,arsenal.webp,8
transfer,easy,Michael Olise,One player made this move in 2024/25. Who?,Michael Olise joined FC Bayern Munich from Crystal Palace in 2024/25 for €53M.,"{""from"": ""Crystal Palace"", ""to"": ""Bayern Munich"", ""season"": ""24/25"", ""fee"": 53000000.0}",crystal-palace.png,fc-bayern-munich.webp,5
transfer,hard,Alban Lafont,One player made this move in 2018/19. Who?,Alban Lafont joined Fiorentina from Toulouse in 2018/19 for €8M.,"{""from"": ""Toulouse"", ""to"": ""Fiorentina"", ""season"": ""18/19"", ""fee"": 8000000.0}",wl-toulouse.png,acf-fiorentina.webp,5
transfer,medium,Edouard Mendy,One player made this move in 2023/24. Who?,Edouard Mendy joined Al-Ahli from Chelsea in 2023/24 for €18.5M.,"{""from"": ""Chelsea"", ""to"": ""Al-Ahli"", ""season"": ""23/24"", ""fee"": 18500000.0}",chelsea.webp,wl-al-ahli.png,4
transfer,medium,Jørgen Strand Larsen,One player made this move in 2022/23. Who?,Jørgen Strand Larsen joined Celta de Vigo from Groningen in 2022/23 for €15.0M.,"{""from"": ""FC Groningen"", ""to"": ""Celta de Vigo"", ""season"": ""22/23"", ""fee"": 15040000.0}",wl-groningen.png,celta-de-vigo.webp,5
transfer,medium,Konstantinos Manolas,One player made this move in 2014/15. Who?,Konstantinos Manolas joined AS Roma from Olympiacos in 2014/15 for €15M.,"{""from"": ""Olympiacos"", ""to"": ""AS Roma"", ""season"": ""14/15"", ""fee"": 15000000.0}",wl-olympiacos.png,as-roma.webp,4
transfer,easy,Fabinho,One player made this move in 2023/24. Who?,Fabinho joined Al-Ittihad from Liverpool in 2023/24 for €46.7M.,"{""from"": ""Liverpool"", ""to"": ""Al-Ittihad"", ""season"": ""23/24"", ""fee"": 46700000.0}",liverpool.webp,wl-al-ittihad.png,2
transfer,medium,Lucas Ocampos,One player made this move in 2019/20. Who?,Lucas Ocampos joined Sevilla FC from Marseille in 2019/20 for €15M.,"{""from"": ""Marseille"", ""to"": ""Sevilla FC"", ""season"": ""19/20"", ""fee"": 15000000.0}",wl-marseille.png,sevilla-fc.webp,4
transfer,medium,Kaio Jorge,One player made this move in 2024/25. Who?,Kaio Jorge joined Cruzeiro from Juventus in 2024/25 for €7.2M.,"{""from"": ""Juventus"", ""to"": ""Cruzeiro"", ""season"": ""24/25"", ""fee"": 7200000.0}",juventus.webp,wl-cruzeiro.png,4
transfer,medium,Diego Llorente,One player made this move in 2017/18. Who?,Diego Llorente joined Real Sociedad from Real Madrid CF in 2017/18 for €11M.,"{""from"": ""Real Madrid"", ""to"": ""Real Sociedad"", ""season"": ""17/18"", ""fee"": 11000000.0}",real-madrid-cf.webp,real-sociedad.webp,4
transfer,easy,Arda Güler,One player made this move in 2023/24. Who?,Arda Güler joined Real Madrid CF from Fenerbahçe in 2023/24 for €28M.,"{""from"": ""Fenerbahçe"", ""to"": ""Real Madrid"", ""season"": ""23/24"", ""fee"": 28000000.0}",wl-fenerbahce.png,real-madrid-cf.webp,4
transfer,hard,Mamadou Sakho,One player made this move in 2017/18. Who?,Mamadou Sakho joined Crystal Palace from Liverpool in 2017/18 for €28.2M.,"{""from"": ""Liverpool"", ""to"": ""Crystal Palace"", ""season"": ""17/18"", ""fee"": 28200000.0}",liverpool.webp,crystal-palace.png,4
transfer,medium,Konstantinos Manolas,One player made this move in 2019/20. Who?,Konstantinos Manolas joined SSC Napoli from AS Roma in 2019/20 for €36M.,"{""from"": ""AS Roma"", ""to"": ""SSC Napoli"", ""season"": ""19/20"", ""fee"": 36000000.0}",as-roma.webp,ssc-napoli.webp,4
transfer,easy,Roméo Lavia,One player made this move in 2023/24. Who?,Roméo Lavia joined Chelsea from Southampton in 2023/24 for €62.1M.,"{""from"": ""Southampton"", ""to"": ""Chelsea"", ""season"": ""23/24"", ""fee"": 62100000.0}",wl-southampton.png,chelsea.webp,4
transfer,medium,Leonardo Bonucci,One player made this move in 2017/18. Who?,Leonardo Bonucci joined AC Milan from Juventus in 2017/18 for €42M.,"{""from"": ""Juventus"", ""to"": ""AC Milan"", ""season"": ""17/18"", ""fee"": 42000000.0}",juventus.webp,ac-milan.webp,4
