index,nickname,country,city,club,band,daily_cap,schedule,rename_flag,base_skill,consistency,speed_offset,affinities,has_avatar,personality_seed
0,sopho vashaliani,GE,Poti,,B1 (bottom),15,morning,yes,0.197,0.83,0.178,premier_league:0.108 transfers:0.169 serie_a:0.131 world_cup:0.135 legends:-0.141 la_liga:-0.168 georgian_football:-0.174,no,820946252693096
1,ზუკა,GE,Poti,,B1 (bottom),2,daytime,no,0.19,0.447,-0.219,national_teams:0.107 premier_league:0.101 legends:0.166 serie_a:0.16 world_cup:-0.103 la_liga:-0.134,no,2600807395629580
2,temuria,GE,Akhaltsikhe,,B4,2,night_owl,yes,0.665,0.378,0.247,georgian_football:0.081 national_teams:0.108 transfers:-0.122 serie_a:-0.19 champions_league:-0.171 legends:-0.072,no,3616937601081053
3,KakhaR,GE,Batumi,,B4,3,evening,no,0.635,0.526,-0.206,serie_a:0.161 la_liga:0.186 georgian_football:-0.091 legends:-0.092,no,3174165138850207
4,Temur Onianiidze39,GE,Zugdidi,,B1 (bottom),15,night_owl,no,0.069,0.805,-0.28,georgian_football:0.082 serie_a:0.143 world_cup:0.142 premier_league:-0.081 national_teams:-0.137,no,3339145726454603
5,Tengo111,GE,Telavi,,B3,15,daytime,no,0.522,0.44,-0.061,national_teams:0.112 world_cup:0.097 legends:0.152 champions_league:0.122 la_liga:-0.129 serie_a:-0.17,no,194829368175918
6,Nana Shengelashvili,GE,Poti,,B4,10,evening,no,0.674,0.731,-0.224,la_liga:0.196 transfers:0.18 serie_a:-0.163 premier_league:-0.156 national_teams:-0.165 champions_league:-0.169,no,333965487791114
7,Toko Lezhaviani,GE,Poti,Arsenal FC,B2,21,daytime,no,0.267,0.613,-0.081,bundesliga:0.163 serie_a:0.192 la_liga:0.086 premier_league:-0.109 georgian_football:-0.184 national_teams:-0.191 champions_league:-0.064,no,3971637809885712
8,Kaki Kublasheli,GE,Kutaisi,,B2,2,evening,yes,0.254,0.453,0.068,transfers:0.163 premier_league:0.129 la_liga:0.084 serie_a:0.137 bundesliga:-0.112 national_teams:-0.128 world_cup:-0.186 champions_league:-0.106,no,2528122906734996
9,ლუკა,GE,Gori,,B1 (bottom),3,evening,no,0.23,0.78,0.281,georgian_football:0.167 premier_league:0.136 world_cup:0.15 serie_a:-0.188 transfers:-0.18,no,3422050034058141
10,makam,GE,Tbilisi,,B1 (bottom),2,evening,no,0.22,0.492,0.178,world_cup:0.105 legends:0.101 champions_league:0.067 serie_a:-0.122 georgian_football:-0.052 bundesliga:-0.191 national_teams:-0.052,no,4356698485214173
11,Anaiko,GE,Gori,,B3,10,morning,no,0.533,0.649,-0.253,serie_a:0.061 national_teams:0.083 world_cup:0.163 la_liga:0.185 legends:-0.1 georgian_football:-0.123 transfers:-0.189 champions_league:-0.183,no,1720051555643104
12,pridon okropashvili,GE,Telavi,,B3,3,daytime,no,0.528,0.74,0.171,georgian_football:0.063 legends:0.059 serie_a:0.09 world_cup:-0.177 transfers:-0.095 champions_league:-0.069 la_liga:-0.128,no,2298797779399578
13,mbappe1,GE,Batumi,,B2,2,daytime,no,0.329,0.667,0.171,la_liga:0.144 premier_league:0.053 georgian_football:0.084 champions_league:0.079 world_cup:-0.142 serie_a:-0.144 national_teams:-0.121,no,3401819241164983
14,messi5,GE,Ozurgeti,,B2,2,daytime,no,0.415,0.656,0.138,bundesliga:0.105 la_liga:0.161 world_cup:0.091 transfers:-0.053 premier_league:-0.168,no,3117128200900117
15,Datunaushka,GE,Poti,,B4,2,daytime,no,0.707,0.816,0.22,national_teams:0.165 la_liga:0.164 serie_a:-0.15 transfers:-0.108 georgian_football:-0.141 champions_league:-0.073,no,1437426493518184
16,Miqa Chkhartshvili,GE,Tbilisi,,B3,2,daytime,no,0.515,0.435,0.092,world_cup:0.075 georgian_football:0.07 legends:-0.072 champions_league:-0.149 premier_league:-0.11,no,905727017971576
17,Niko Bakurava,GE,Ozurgeti,FC Barcelona,B1 (bottom),15,evening,no,0.245,0.468,-0.059,serie_a:0.057 la_liga:0.144 world_cup:0.056 legends:-0.137 transfers:-0.147 premier_league:-0.052,no,1722459283497418
18,Khatia Chanturishvili,GE,Kutaisi,,B2,2,evening,no,0.251,0.541,-0.169,serie_a:0.166 georgian_football:0.07 legends:0.073 premier_league:0.177 bundesliga:-0.169 la_liga:-0.154,no,2126683907713055
19,VatoB15,GE,Batumi,,B1 (bottom),10,evening,no,0.116,0.411,-0.086,georgian_football:0.153 premier_league:0.179 transfers:0.187 la_liga:-0.127 champions_league:-0.178,no,591505402948915
20,IrakayL,GE,Rustavi,,B2,3,evening,no,0.35,0.37,-0.09,serie_a:0.188 world_cup:0.11 georgian_football:-0.058 legends:-0.087,no,155510110890500
21,maradona,GE,Ozurgeti,,B2,2,daytime,yes,0.413,0.724,0.061,georgian_football:0.175 la_liga:0.076 premier_league:-0.158 bundesliga:-0.136,no,522247207226705
22,Gogichava.cr7,GE,Rustavi,,B1 (bottom),15,daytime,no,0.066,0.408,-0.158,serie_a:0.099 premier_league:0.152 world_cup:-0.182 transfers:-0.053,no,3039868774402993
23,Tako,GE,Gori,,B3,3,morning,yes,0.503,0.624,-0.009,georgian_football:0.112 premier_league:0.054 bundesliga:0.15 national_teams:-0.054 champions_league:-0.129 world_cup:-0.154,no,4420008132952776
24,Sergo Samkhariani,GR,Athens,,B1 (bottom),2,daytime,no,0.244,0.636,0.256,premier_league:0.162 world_cup:0.141 legends:0.194 national_teams:0.087 bundesliga:-0.197 serie_a:-0.177 champions_league:-0.154 georgian_football:-0.124,no,3214188336827849
25,Sopho Eliashidze359,GE,Gori,,B2,3,morning,no,0.359,0.729,-0.067,champions_league:0.193 georgian_football:0.127 national_teams:0.107 premier_league:-0.173 transfers:-0.099 la_liga:-0.128 serie_a:-0.124,no,3492189277463125
26,Eldar Tsagurishvili,ES,Barcelona,,B2,2,morning,no,0.439,0.67,0.149,premier_league:0.075 serie_a:0.156 bundesliga:-0.187 legends:-0.11,no,1741398872419064
27,Grishaika,GE,Zugdidi,,B1 (bottom),3,daytime,no,0.228,0.414,-0.045,georgian_football:0.173 la_liga:0.118 national_teams:0.151 transfers:-0.124 bundesliga:-0.107,yes,2782299874618240
28,temur jugelidze111,GE,Batumi,,B4,2,night_owl,no,0.746,0.751,-0.284,la_liga:0.175 national_teams:0.077 champions_league:-0.073 bundesliga:-0.096 serie_a:-0.117 premier_league:-0.095,no,3433100113896944
29,Paatao,GE,Rustavi,,B2,15,evening,no,0.388,0.383,-0.031,bundesliga:0.113 legends:0.11 champions_league:0.19 premier_league:0.095 serie_a:-0.188 world_cup:-0.096 transfers:-0.053,no,3318045048107786
30,ilia chkhartashvili,GE,Ozurgeti,,B5 (top),2,evening,no,0.815,0.605,-0.158,champions_league:0.191 transfers:0.144 georgian_football:0.07 national_teams:-0.058 la_liga:-0.179,no,686732673718305
31,Ucha,GE,Tbilisi,,B3,3,evening,no,0.586,0.396,-0.155,la_liga:0.151 transfers:0.074 premier_league:0.086 georgian_football:-0.085 world_cup:-0.063 national_teams:-0.122,no,967844025313015
32,Rezi Dvalishvili,GE,Poti,,B1 (bottom),2,evening,no,0.197,0.779,-0.094,bundesliga:0.135 la_liga:0.104 world_cup:0.113 georgian_football:-0.193 transfers:-0.129,no,1403740124835235
33,IuriT,GE,Tbilisi,,B2,2,evening,no,0.313,0.402,-0.04,georgian_football:0.095 world_cup:0.084 transfers:0.151 serie_a:-0.157 champions_league:-0.13 national_teams:-0.06,no,3799938374073423
34,mari zarkshvili,GE,Zugdidi,,B4,2,evening,no,0.697,0.434,0.037,bundesliga:0.181 serie_a:0.152 legends:0.054 world_cup:-0.113 champions_league:-0.138,no,29394396745690
35,Vova,GE,Zugdidi,,B4,2,daytime,no,0.618,0.423,-0.212,premier_league:0.162 bundesliga:0.07 national_teams:0.163 transfers:0.114 champions_league:-0.06 serie_a:-0.173 la_liga:-0.113 georgian_football:-0.144,no,1044405577068155
36,Nugzar Papavshvili,GE,Kutaisi,,B2,2,evening,no,0.275,0.356,0.119,legends:0.141 champions_league:0.051 serie_a:-0.079 bundesliga:-0.146 world_cup:-0.087 national_teams:-0.101,no,1313890482399335
37,Guga Ruradshvili,GE,Zugdidi,,B1 (bottom),2,evening,no,0.054,0.364,0.266,champions_league:0.197 serie_a:0.17 georgian_football:-0.143 transfers:-0.098 bundesliga:-0.055 la_liga:-0.143,no,906907306255903
38,Roinika472,GB,London,,B1 (bottom),10,morning,no,0.093,0.498,-0.047,georgian_football:0.074 premier_league:0.149 serie_a:0.147 national_teams:0.092 la_liga:-0.076 transfers:-0.182 legends:-0.097 bundesliga:-0.2,no,3128871062513366
39,Miqa Maisurshvili,GE,Rustavi,,B4,3,evening,no,0.697,0.567,-0.273,national_teams:0.091 georgian_football:0.167 premier_league:0.087 legends:0.188 serie_a:-0.15 la_liga:-0.068 bundesliga:-0.103 champions_league:-0.156,no,3985491884590902
40,Temur Mgelshvili,GE,Akhaltsikhe,,B3,10,daytime,no,0.537,0.699,0.044,premier_league:0.079 legends:0.083 georgian_football:-0.086 transfers:-0.094 national_teams:-0.173 champions_league:-0.119,no,3357112808510963
